,CompanyName,Cusine,Importance,Address,PhoneNumber,Website,NumReviews,Overall,PriceRange,Prices,Puntuation
0,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256.0,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
1,Pizza & Sfizi,"['Italian', ' Pizza', ' Fast Food', ' Mediterranean', ' Grill']","#2 of 2,742 Restaurants in Naples","Via Amerigo Vespucci 138 Via Amerigo Vespucci 133, 80142, Naples Italy",+39 081 554 3128,http://www.pizzaesfizipollon.it/,348.0,5.0,€8 - €13,"[2.0, 2.0, 4.0, 4.0, 6.0]","['12', '1', '0', '0', '0']"
2,Ciccio Fri,"['Vegetarian Friendly', ' Vegan Options']","#3 of 2,742 Restaurants in Naples","Via Emanuele de Deo 32, 80134, Naples Italy",+39 081 1877 1994,https://www.facebook.com/Ciccio-Fri-1972966376075000/,264.0,5.0,Na,Na,"['9', '1', '0', '0', '0']"
3,Impasto 55,"['Vegetarian Friendly', ' Vegan Options']","#4 of 2,742 Restaurants in Naples","Piazza Vittoria 11/12, 80121, Naples Italy",+39 081 764 5295,http://www.impasto55.it/,325.0,5.0,Na,Na,"['5', '1', '0', '0', '1']"
4,Da Maria,"['Italian', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#5 of 2,742 Restaurants in Naples","Vico Sant'Anna di Palazzo 31, 80132, Naples Italy",+39 081 405760,https://www.facebook.com/AlimentariMariaGino/,99.0,5.0,€15 - €30,"[9.0, 4.0, 5.0]","['18', '0', '0', '0', '0']"
5,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#352 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38.0,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
6,Pizzeria Laezza,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#6 of 2,742 Restaurants in Naples","Via Speranzella 125 Quartieri Spagnoli, 80132, Naples Italy",+39 081 1932 2748,https://www.facebook.com/pizzerialaezza/,662.0,5.0,€3 - €12,Na,"['48', '2', '1', '4', '2']"
7,La Locanda Gesu Vecchio,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#8 of 2,742 Restaurants in Naples","Via Giovanni Paladino 26, 80138, Naples Italy",+39 081 461 3928,http://www.foodpertutti.it/menu/la-locanda-del-gesu-vecchio/,752.0,5.0,Na,"[4.5, 4.5, 6.0, 5.0, 2.5]","['71', '8', '2', '1', '0']"
8,Gusto Marigliano Ristorante Pizzeria,"['Italian', ' Pizza', ' Neapolitan', ' Campania', ' Southern-Italian', ' Mediterranean']","#9 of 2,742 Restaurants in Naples","Via Medina 12, 80133, Naples Italy",+39 081 1936 2061,http://www.facebook.com/gustomarigliano.pizzeria,146.0,5.0,€13 - €45,"[2.0, 4.0, 2.0]","['8', '0', '1', '1', '0']"
9,Pizzeria Pizza Napoletana,"['Pizza', ' Neapolitan', ' Campania', ' Southern-Italian', ' Italian', ' Mediterranean', ' Healthy']","#10 of 2,742 Restaurants in Naples","Calata Capodichino 128/132, 80141, Naples Italy",+39 081 1863 4803,http://pizzeriapizzanapoletana.plateform.app/menu,164.0,5.0,€5 - €20,"[5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0]","['11', '0', '0', '0', '0']"
10,Opera Restaurant,"['Italian', ' Seafood', ' International', ' Mediterranean', ' Fusion', ' Healthy']","#11 of 2,742 Restaurants in Naples","Via Simone Martini 2/4, 80128, Naples Italy",+39 338 684 7227,http://www.operarestaurantnapoli.it/,179.0,5.0,€30 - €60,"[13.0, 18.0, 18.0, 18.0, 25.0, 18.0, 16.0, 18.0, 16.0, 18.0, 22.0, 16.0, 18.0, 18.0, 20.0, 22.0, 9.0, 9.0, 9.0, 9.0, 9.0]","['2', '0', '0', '0', '0']"
11,Wine Boat,"['Italian', ' Mediterranean', ' Wine Bar', ' Neapolitan', ' Campania', ' Southern-Italian']","#12 of 2,742 Restaurants in Naples","Vico d'Afflitto 39/40, 80132, Naples Italy",+39 338 135 5254,http://www.wineboat.it/,135.0,5.0,€4 - €30,"[16.0, 16.0, 5.0]","['19', '2', '1', '0', '0']"
12,'A Tiàna Tipica Napoletana,"['Italian', ' Mediterranean', ' Barbecue', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#13 of 2,742 Restaurants in Naples","Via Guido Cortese 24, 80128, Naples Italy",+39 347 641 6748,http://www.atiana.it/,119.0,5.0,€18 - €31,"[13.0, 20.0, 12.0]","['2', '0', '0', '0', '0']"
13,Guest House Pub,"['Pub', ' Steakhouse', ' Brew Pub', ' Bar']","#14 of 2,742 Restaurants in Naples","Via Lepanto 113, 80125, Naples Italy",+39 081 1936 1885,http://www.guesthousepub.it/,207.0,4.5,€10 - €20,Na,"['1', '0', '0', '0', '0']"
14,Casa Buonocore,"['Italian', ' Seafood', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#16 of 2,742 Restaurants in Naples","Via Giorgio Arcoleo 39 - 41, 80121, Naples Italy",+39 081 976 1241,http://www.facebook.com/CasaBuonocore-110274767173884/?ref=bookmarks,234.0,5.0,€15 - €30,"[18.0, 7.0, 6.0]","['10', '0', '0', '0', '0']"
15,28 Posti Bistrot Con Gusto,"['Mediterranean', ' Italian', ' Seafood', ' Neapolitan', ' Grill']","#17 of 2,742 Restaurants in Naples","Via Chiatamone 16, 80121, Naples Italy",+39 392 150 2859,https://www.facebook.com/28-Posti-Bistrot-con-Gusto-574524336242284/?ref=br_rs,183.0,5.0,€20 - €30,Na,"['14', '0', '0', '1', '0']"
